Player Names,Player BWF Link,Singles Wins,Singles Losses,Singles Prize Money,Doubles Wins,Doubles Losses,Doubles Prize Money,Mixed Wins,Mixed Losses,Mixed Prize Money,Total Money,Career Wins,Career Losses
Charmaine Reid,https://bwfbadminton.com/player/3156/charmaine-reid,182,274,0,251,258,0,11,18,0,994,444,550
Jurgen Koch,https://bwfbadminton.com/player/2641/jurgen-koch,272,218,4467,283,208,12717,51,37,1499,19752,606,463
Nicole Grether,https://bwfbadminton.com/player/3951/nicole-grether,214,209,0,301,240,0,1,5,0,970,516,454
Petya Nedelcheva,https://bwfbadminton.com/player/12765/petya-nedelcheva,488,247,76668,303,164,33077,73,42,293,111355,864,453
Michael Fuchs,https://bwfbadminton.com/player/51263/michael-fuchs,10,21,435,247,222,35608,237,173,79426,116379,494,416
Simone Prutsch,https://bwfbadminton.com/player/10022/simone-prutsch,144,268,4677,38,64,223,47,57,855,6373,229,389
Birgit Overzier,https://bwfbadminton.com/player/50851/birgit-overzier,2,1,0,198,182,32635,291,197,89313,122819,491,380
Sabrina Jaquet,https://bwfbadminton.com/player/54068/sabrina-jaquet,223,194,25301,66,79,1028,64,96,3339,30390,353,369
Jan Frohlich,https://bwfbadminton.com/player/10565/jan-frohlich,286,240,5561,63,84,469,40,36,0,6779,389,360
Roman Zirnwald,https://bwfbadminton.com/player/13231/roman-zirnwald,18,46,54,128,169,1317,104,145,1763,3744,250,360
Chloe Magee,https://bwfbadminton.com/player/89666/chloe-magee,193,158,15505,61,38,1771,190,163,30161,48240,444,359
Sudket Prapakamol,https://bwfbadminton.com/player/10650/sudket-prapakamol,2,1,0,147,153,17326,319,198,162864,181010,468,352
Hadia Hosny,https://bwfbadminton.com/player/52901/hadia-hosny,179,155,5853,121,93,6354,108,102,2494,15459,408,350
Denyse Julien,https://bwfbadminton.com/player/235/denyse-julien,194,141,17284,146,124,9877,133,83,5479,33461,473,348
Robert Blair,https://bwfbadminton.com/player/12052/robert-blair,20,16,105,233,171,20075,261,156,48505,69542,514,343
Tse Ying Suet,https://bwfbadminton.com/player/61435/tse-ying-suet,53,53,4530,129,150,50882,186,133,181304,237420,368,336
Valeriy Atrashchenkov,https://bwfbadminton.com/player/52290/valeriy-atrashchenkov,187,159,4162,65,52,483,167,117,10900,16292,419,328
Hsu Ya Ching,https://bwfbadminton.com/player/74561/hsu-ya-ching,103,106,40733,86,156,42279,65,66,31914,115508,254,328
Saralee Thoungthongkam,https://bwfbadminton.com/player/7065/saralee-thoungthongkam,0,1,0,142,107,38479,340,218,173603,212890,482,326
Cheng Wen Hsing,https://bwfbadminton.com/player/10947/cheng-wen-hsing,3,5,280,317,176,143647,203,140,78426,223197,523,321
Vita Marissa,https://bwfbadminton.com/player/10360/vita-marissa,0,0,0,249,154,135599,352,164,162115,298633,601,318
Chen Hung Ling,https://bwfbadminton.com/player/53613/chen-hung-ling,0,1,0,273,199,154603,188,116,69887,225267,461,316
Danny Bawa Chrisnanta,https://bwfbadminton.com/player/66920/danny-bawa-chrisnanta,0,0,0,195,142,29861,218,172,43955,74543,413,314
Isabel Herttrich,https://bwfbadminton.com/player/98052/isabel-herttrich,6,5,0,153,164,29384,180,142,48478,78512,339,311
Kunchala Voravichitchaikul,https://bwfbadminton.com/player/50739/kunchala-voravichitchaikul,1,4,0,166,182,60360,136,124,59854,120827,303,310
Maja Tvrdy,https://bwfbadminton.com/player/12023/maja-tvrdy,170,171,0,45,68,0,45,71,0,570,260,310
Chris Adcock,https://bwfbadminton.com/player/70333/chris-adcock,0,0,0,141,118,29276,322,188,248590,278635,463,306
Kamilla Rytter Juhl,https://bwfbadminton.com/player/51436/kamilla-rytter-juhl,0,0,0,376,183,388956,269,122,123552,513458,645,305
Phillip Chew,https://bwfbadminton.com/player/36299/phillip-chew,2,8,70,143,174,11839,122,121,11521,24000,267,303
Sapsiree Taerattanachai,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai,99,67,28628,149,140,76759,190,93,208388,314513,438,300
Misha Zilberman,https://bwfbadminton.com/player/52953/misha-zilberman,274,227,28075,11,13,0,35,58,2373,31066,320,298
Chau Hoi Wah,https://bwfbadminton.com/player/55285/chau-hoi-wah,3,2,0,62,94,14014,242,202,124111,138730,307,298
Gabrielle Adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock,0,1,0,105,110,15116,325,184,250466,266307,430,295
Brice Leverdez,https://bwfbadminton.com/player/52968/brice-leverdez,343,259,105142,43,36,1727,0,0,0,107550,386,295
Ronan Labar,https://bwfbadminton.com/player/22038/ronan-labar,0,0,0,171,141,9362,192,154,25045,35065,363,295
Eva Lee,https://bwfbadminton.com/player/14814/eva-lee,54,59,798,166,157,18805,128,79,12684,32930,348,295
Chris Langridge,https://bwfbadminton.com/player/51624/chris-langridge,0,0,0,355,208,66886,120,86,11173,78828,475,294
Ingo Kindervater,https://bwfbadminton.com/player/50344/ingo-kindervater,1,1,0,253,207,0,93,86,0,641,347,294
Johanna Goliszewski,https://bwfbadminton.com/player/52280/johanna-goliszewski,14,25,31,175,186,28674,90,83,4951,34229,279,294
Alesia Zaitsava,https://bwfbadminton.com/player/52294/alesia-zaitsava,197,162,2532,42,57,190,48,73,780,4081,287,292
Zvonimir Durkinjak,https://bwfbadminton.com/player/52250/zvonimir-durkinjak,135,117,4594,171,108,4525,119,66,6180,16015,425,291
Chang Ye Na,https://bwfbadminton.com/player/54361/chang-ye-na,3,3,90,357,189,337680,142,98,64484,403046,502,290
Rosario Maddaloni,https://bwfbadminton.com/player/15286/rosario-maddaloni,198,187,4068,91,91,2020,3,12,0,6670,292,290
Katerina Tomalova,https://bwfbadminton.com/player/81794/katerina-tomalova,120,149,1298,60,87,561,32,51,94,2452,212,287
Chien Yu Chin,https://bwfbadminton.com/player/9846/chien-yu-chin,39,41,0,300,149,0,111,94,0,734,450,284
Ashwini Ponnappa,https://bwfbadminton.com/player/49765/ashwini-ponnappa,6,3,990,165,183,63020,90,97,25801,90355,261,283
Dmytro Zavadsky,https://bwfbadminton.com/player/54439/dmytro-zavadsky,285,175,20954,53,57,1125,45,50,802,23546,383,282
Jakub Bitman,https://bwfbadminton.com/player/54443/jakub-bitman,74,103,1801,61,64,0,111,115,2032,4361,246,282
